orderid,orderdate,unitcost,price,orderqty,costofsales,productname,brandname,state
3370,3/30/2014,8.860613872,12.99,20,177.2122774,Contoso 512MB MP3 Player E51 Blue,Contoso,Ondo
3036,3/24/2013,2.794338459,21.57,10,27.94338459,Contoso 2G MP3 Player E200 Red,Contoso,Benue
2228,12/18/2011,8.399853846,21.57,4,33.59941538,Contoso 2G MP3 Player E200 Black,Contoso,Lagos
1988,6/19/2014,16.67301675,21.57,24,400.1524019,Contoso 2G MP3 Player E200 Blue,Contoso,Katsina
2629,3/15/2013,11.0597826,21.57,24,265.4347825,Contoso 2G MP3 Player E200 Blue,Contoso,Ekiti
3421,04-10-12,12.73667175,59.99,5,63.68335875,Contoso 4G MP3 Player E400 Black,Contoso,Delta
2584,07-07-12,13.59268115,59.99,6,81.55608687,Contoso 4G MP3 Player E400 Green,Contoso,Benue
2358,3/30/2012,59.51462961,59.99,5,297.5731481,Contoso 4G MP3 Player E400 Orange,Contoso,Ekiti
2195,12/13/2013,59.66167661,77.68,18,1073.910179,Contoso 4GB Flash MP3 Player E401 Blue,Contoso,Abia
2170,3/22/2014,173.4906838,199.9,10,1734.906838,Contoso 16GB Mp5 Player M1600 Blue,Contoso,Gombe
2169,5/24/2013,18.90985704,255,10,189.0985704,Contoso 32GB Video MP3 Player M3200 Red,Contoso,Borno
3364,5/31/2013,25.92101966,255,12,311.0522359,Contoso 32GB Video MP3 Player M3200 Orange,Contoso,Enugu
2591,03-02-14,71.00988057,95.95,9,639.0889252,Contoso 4GB Portable MP3 Player M450 Black,Contoso,Imo
2541,08-10-12,195.9404482,299.23,12,2351.285379,Contoso 8GB Clock & Radio MP3 Player X850 Black,Contoso,Kebbi
3370,3/30/2014,8.860613872,12.99,20,177.2122774,Contoso 8GB Clock & Radio MP3 Player X850 Blue,Contoso,Ondo
1957,07-12-14,32.09639589,199.95,12,385.1567507,WWI 2GB Pulse Smart pen M100 Blue,Wide World Importers,FCT
2289,08-04-12,19.31979453,199.95,10,193.1979453,WWI 2GB Pulse Smart pen M100 Silver,Wide World Importers,Jigawa
2811,8/27/2012,182.9029712,199.95,10,1829.029712,WWI 2GB Pulse Smart pen M100 Silver,Wide World Importers,Lagos
3423,10-11-12,80.24156266,199.95,26,2086.280629,WWI 2GB Pulse Smart pen M100 Silver,Wide World Importers,Bauchi
2842,11/20/2013,84.82654007,156,8,678.6123206,WWI 1GB Digital Voice Recorder Pen E100 Red,Wide World Importers,Rivers
2405,03-08-14,75.32016774,181,20,1506.403355,WWI 2GB Spy Video Recorder Pen M300 Black,Wide World Importers,Katsina
2186,12/17/2011,13.75781621,25.69,4,55.03126484,NT Bluetooth Stereo Headphones E52 Blue,Northwind Traders,Sokoto
2836,06-08-12,6.777598507,25.69,6,40.66559104,NT Bluetooth Stereo Headphones E52 Blue,Northwind Traders,Yobe
1919,06-11-12,11.94504129,25.69,6,71.67024774,NT Bluetooth Stereo Headphones E52 Yellow,Northwind Traders,Benue
3389,2/18/2012,5.53059383,25.69,4,22.12237532,NT Bluetooth Stereo Headphones E52 Yellow,Northwind Traders,Taraba
2777,8/21/2014,9.057795119,25.69,20,181.1559024,NT Bluetooth Stereo Headphones E52 Pink,Northwind Traders,Nasarawa
2676,3/18/2012,33.33412639,47.95,5,166.670632,NT Wireless Bluetooth Stereo Headphones E102 Silver,Northwind Traders,Anambra
3317,03-11-14,12.69829779,47.95,18,228.5693602,NT Wireless Bluetooth Stereo Headphones E102 Silver,Northwind Traders,Bayelsa
1822,3/30/2014,26.38865697,37.95,20,527.7731394,NT Bluetooth Active Headphones E202 Black,Northwind Traders,Abia
1865,4/21/2012,22.30946344,37.95,6,133.8567806,NT Bluetooth Active Headphones E202 White,Northwind Traders,Benue
3107,07-04-14,10.20294764,37.95,48,489.7414865,NT Bluetooth Active Headphones E202 White,Northwind Traders,Kaduna
